Problem,Package,File,Priority,Line,Description,Rule set,Rule
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,22,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,27,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,32,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,37,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
6,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,42,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
7,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,50,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
8,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,55,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
9,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,59,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
10,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,64,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
11,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,69,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
12,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,74,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
13,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,78,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
14,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCase.java,3,82,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseAttachment.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseAttachment.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseAttachment.java,3,23,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseAttachment.java,3,28,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseAttachment.java,3,33,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
6,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseAttachment.java,3,38,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
7,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseAttachment.java,3,42,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseAttachmentExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseAttachmentExample.java,3,715,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseBlob.java,3,15,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseBlobExample.java,3,185,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseComment.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseComment.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseComment.java,3,44,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseCommentExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseCommentExample.java,3,725,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseCustomField.java,3,15,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseCustomField.java,3,20,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseCustomFieldExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseCustomFieldExample.java,3,325,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseDemand.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseDemand.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseDemand.java,3,23,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseDemand.java,3,28,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseDemand.java,3,35,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
6,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseDemand.java,3,43,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseDemandExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseDemandExample.java,3,925,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseExample.java,3,1609,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseFollower.java,3,15,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseFollower.java,3,20,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseFollowerExample.java,3,255,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseModule.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseModule.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseModule.java,3,23,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseModule.java,3,28,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseModule.java,3,33,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseModuleExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseModuleExample.java,3,715,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseRelationshipEdge.java,3,15,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseRelationshipEdge.java,3,20,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseRelationshipEdge.java,3,25,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseRelationshipEdge.java,3,30,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseRelationshipEdgeExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseRelationshipEdgeExample.java,3,585,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseTest.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseTest.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseTest.java,3,23,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseTest.java,3,28,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseTest.java,3,33,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
6,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseTest.java,3,38,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseTestExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalCaseTestExample.java,3,795,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalMinderExtraNode.java,3,15,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalMinderExtraNode.java,3,20,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalMinderExtraNode.java,3,25,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalMinderExtraNode.java,3,30,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalMinderExtraNodeExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\FunctionalMinderExtraNodeExample.java,3,325,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\MindAdditionalNode.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\MindAdditionalNode.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\MindAdditionalNode.java,3,23,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\MindAdditionalNode.java,3,28,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\MindAdditionalNode.java,3,33,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\MindAdditionalNodeExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.functional.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\functional\domain\MindAdditionalNodeExample.java,3,715,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlan.java,3,17,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlan.java,3,25,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlan.java,3,30,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlan.java,3,35,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlan.java,3,40,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
6,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlan.java,3,45,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
7,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlan.java,3,50,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
8,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlan.java,3,85,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiCase.java,3,17,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiCase.java,3,22,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiCase.java,3,27,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiCase.java,3,47,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiCase.java,3,51,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiCaseExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiCaseExample.java,3,855,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiScenario.java,3,17,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiScenario.java,3,22,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiScenario.java,3,48,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiScenario.java,3,52,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiScenarioExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanApiScenarioExample.java,3,985,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCaseExecuteHistory.java,3,13,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCaseExecuteHistory.java,3,18,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCaseExecuteHistory.java,3,23,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
4,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCaseExecuteHistory.java,3,28,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
5,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCaseExecuteHistory.java,3,33,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
6,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCaseExecuteHistory.java,3,38,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
1,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCaseExecuteHistoryExample.java,3,66,This class has a bunch of public methods and attributes,Design,ExcessivePublicCount
2,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCaseExecuteHistoryExample.java,3,725,"The class 'Criterion' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=8, WMC=14)",Design,DataClass
1,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCollection.java,3,17,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
2,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCollection.java,3,22,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
3,io.metersphere.plan.domain,C:\User\divya\Projects\metersphere\backend\framework\domain\src\main\java\io\metersphere\plan\domain\TestPlanCollection.java,3,27,Access to field `REQUIRED` on foreign value `Schema.RequiredMode` (degree 1),Design,LawOfDemeter
